location_code,location,year,population,urban_population_ratio,gdp_per_capita,source,collected_at
BFA,Burkina Faso,2025,24074580,28.9226360719085,1147.57131635601,World Bank,2026-07-10T05:20:25.914609+00:00
BGD,Bangladesh,2020,166298024,31.1168927321524,2248.85078828233,World Bank,2026-07-10T05:20:25.914609+00:00
BGD,Bangladesh,2021,167658854,31.3992156886061,2482.84917843357,World Bank,2026-07-10T05:20:25.914609+00:00
BGD,Bangladesh,2022,169384897,31.673734726234,2716.48592780431,World Bank,2026-07-10T05:20:25.914609+00:00
BGD,Bangladesh,2023,171466990,32.1578465036834,2551.01773827307,World Bank,2026-07-10T05:20:25.914609+00:00
BGD,Bangladesh,2024,173562364,32.6783196323307,2593.41611680774,World Bank,2026-07-10T05:20:25.914609+00:00
BGD,Bangladesh,2025,175686899,33.2395847043975,2597.34352335275,World Bank,2026-07-10T05:20:25.914609+00:00
BGR,Bulgaria,2020,6550696,73.3239898681641,10760.7616180234,World Bank,2026-07-10T05:20:25.914609+00:00
BGR,Bulgaria,2021,6507301,73.346765618041,12966.8085197381,World Bank,2026-07-10T05:20:25.914609+00:00
BGR,Bulgaria,2022,6465097,73.4799164005224,13999.9113358453,World Bank,2026-07-10T05:20:25.914609+00:00
BGR,Bulgaria,2023,6446596,73.7322671584613,15854.0192893772,World Bank,2026-07-10T05:20:25.914609+00:00
BGR,Bulgaria,2024,6441421,73.9499356882481,17596.9167621233,World Bank,2026-07-10T05:20:25.914609+00:00
BGR,Bulgaria,2025,6433302,74.1727501848475,20328.1667065538,World Bank,2026-07-10T05:20:25.914609+00:00
BHR,Bahrain,2020,1472204,100,24342.8444554718,World Bank,2026-07-10T05:20:25.914609+00:00
BHR,Bahrain,2021,1504365,100,27147.8083882286,World Bank,2026-07-10T05:20:25.914609+00:00
BHR,Bahrain,2022,1524693,100,30470.5219276023,World Bank,2026-07-10T05:20:25.914609+00:00
BHR,Bahrain,2023,1577059,100,29290.1284215098,World Bank,2026-07-10T05:20:25.914609+00:00
BHR,Bahrain,2024,1588670,100,29717.1424605273,World Bank,2026-07-10T05:20:25.914609+00:00
BHR,Bahrain,2025,1600366,100,30596.5794898885,World Bank,2026-07-10T05:20:25.914609+00:00
BHS,"Bahamas, The",2020,395863,81.6642600232849,26178.7537607708,World Bank,2026-07-10T05:20:25.914609+00:00
BHS,"Bahamas, The",2021,396373,81.4784235345083,30367.8605757708,World Bank,2026-07-10T05:20:25.914609+00:00
BHS,"Bahamas, The",2022,397538,81.3200717047725,34957.1613279737,World Bank,2026-07-10T05:20:25.914609+00:00
BHS,"Bahamas, The",2023,399440,81.3213799173676,38231.774484278,World Bank,2026-07-10T05:20:25.914609+00:00
BHS,"Bahamas, The",2024,401283,81.3249262966481,39455.4466548546,World Bank,2026-07-10T05:20:25.914609+00:00
BHS,"Bahamas, The",2025,403033,81.3309172016028,,World Bank,2026-07-10T05:20:25.914609+00:00
BIH,Bosnia and Herzegovina,2020,3299349,49.9710852122997,6130.31187968266,World Bank,2026-07-10T05:20:25.914609+00:00
BIH,Bosnia and Herzegovina,2021,3244907,50.4899479477034,7295.34378682258,World Bank,2026-07-10T05:20:25.914609+00:00
BIH,Bosnia and Herzegovina,2022,3204802,51.0215287060993,7655.59421024383,World Bank,2026-07-10T05:20:25.914609+00:00
BIH,Bosnia and Herzegovina,2023,3185073,51.5657239834305,8663.02326458629,World Bank,2026-07-10T05:20:25.914609+00:00
BIH,Bosnia and Herzegovina,2024,3164253,52.1224302754935,9397.90942855997,World Bank,2026-07-10T05:20:25.914609+00:00
BIH,Bosnia and Herzegovina,2025,3140095,52.6915440779561,10381.8460703874,World Bank,2026-07-10T05:20:25.914609+00:00
BLR,Belarus,2020,9379952,77.7890385790408,6542.85579976768,World Bank,2026-07-10T05:20:25.914609+00:00
BLR,Belarus,2021,9302585,78.131086803694,7489.71894713888,World Bank,2026-07-10T05:20:25.914609+00:00
BLR,Belarus,2022,9228071,78.4732787892908,7994.64806074889,World Bank,2026-07-10T05:20:25.914609+00:00
BLR,Belarus,2023,9178298,78.8146420666327,7896.75388295584,World Bank,2026-07-10T05:20:25.914609+00:00
BLR,Belarus,2024,9132629,79.1551015210848,8605.60954569694,World Bank,2026-07-10T05:20:25.914609+00:00
BLR,Belarus,2025,9085991,79.4945820380127,10279.2547190723,World Bank,2026-07-10T05:20:25.914609+00:00
BLZ,Belize,2020,390812,42.649842440311,5238.54078175696,World Bank,2026-07-10T05:20:25.914609+00:00
BLZ,Belize,2021,395346,42.3910809205294,6142.98930557031,World Bank,2026-07-10T05:20:25.914609+00:00
BLZ,Belize,2022,402733,42.1373251262137,7068.21728043145,World Bank,2026-07-10T05:20:25.914609+00:00
BLZ,Belize,2023,411106,41.9459437504976,7424.75821321022,World Bank,2026-07-10T05:20:25.914609+00:00
BLZ,Belize,2024,417072,41.7532107338224,7681.24400583113,World Bank,2026-07-10T05:20:25.914609+00:00
BLZ,Belize,2025,422924,41.5621435428272,7865.47937690933,World Bank,2026-07-10T05:20:25.914609+00:00
BMU,Bermuda,2020,64382,100,106976.546239632,World Bank,2026-07-10T05:20:25.914609+00:00
BMU,Bermuda,2021,64648,100,112765.08167306,World Bank,2026-07-10T05:20:25.914609+00:00
BMU,Bermuda,2022,64749,100,119969.173269085,World Bank,2026-07-10T05:20:25.914609+00:00
BMU,Bermuda,2023,64698,100,132961.760796315,World Bank,2026-07-10T05:20:25.914609+00:00
BMU,Bermuda,2024,64636,100,142250.433195123,World Bank,2026-07-10T05:20:25.914609+00:00
BMU,Bermuda,2025,64555,100,,World Bank,2026-07-10T05:20:25.914609+00:00
BOL,Bolivia,2020,11816299,70.0442635528254,3580.96761778303,World Bank,2026-07-10T05:20:25.914609+00:00
BOL,Bolivia,2021,11937360,70.3450412826165,4010.76053686204,World Bank,2026-07-10T05:20:25.914609+00:00
BOL,Bolivia,2022,12077154,70.6352598708131,4219.46113742445,World Bank,2026-07-10T05:20:25.914609+00:00
BOL,Bolivia,2023,12244159,70.9151414044538,4274.70820547613,World Bank,2026-07-10T05:20:25.914609+00:00
BOL,Bolivia,2024,12413315,71.2361453773988,4421.16609889999,World Bank,2026-07-10T05:20:25.914609+00:00
BOL,Bolivia,2025,12581843,71.5631037265869,5147.81081955367,World Bank,2026-07-10T05:20:25.914609+00:00
BRA,Brazil,2020,208660842,86.9112186503004,7074.19378337644,World Bank,2026-07-10T05:20:25.914609+00:00
BRA,Brazil,2021,209550294,87.1360781715439,7972.5366498646,World Bank,2026-07-10T05:20:25.914609+00:00
BRA,Brazil,2022,210306415,87.349556243881,9281.33334441234,World Bank,2026-07-10T05:20:25.914609+00:00
BRA,Brazil,2023,211140729,87.6159710235763,10377.5892792557,World Bank,2026-07-10T05:20:25.914609+00:00
BRA,Brazil,2024,211998573,87.8958549533146,10310.5486973693,World Bank,2026-07-10T05:20:25.914609+00:00
BRA,Brazil,2025,212812405,88.1772996487898,10713.2856869511,World Bank,2026-07-10T05:20:25.914609+00:00
BRB,Barbados,2020,281698,59.3014583324011,19180.9915228365,World Bank,2026-07-10T05:20:25.914609+00:00
BRB,Barbados,2021,282147,59.3220365433819,21084.4013935998,World Bank,2026-07-10T05:20:25.914609+00:00
BRB,Barbados,2022,282318,59.3538514107686,24393.2193483944,World Bank,2026-07-10T05:20:25.914609+00:00
BRB,Barbados,2023,282336,59.4235740235775,25583.8722302505,World Bank,2026-07-10T05:20:25.914609+00:00
BRB,Barbados,2024,282467,59.5397032429174,26897.2002039176,World Bank,2026-07-10T05:20:25.914609+00:00
BRB,Barbados,2025,282623,59.6996239887007,28364.8181499736,World Bank,2026-07-10T05:20:25.914609+00:00
BRN,Brunei Darussalam,2020,447404,74.7748108912151,26834.3592233943,World Bank,2026-07-10T05:20:25.914609+00:00
BRN,Brunei Darussalam,2021,451721,74.7667316936175,31006.9636289785,World Bank,2026-07-10T05:20:25.914609+00:00
BRN,Brunei Darussalam,2022,455370,74.7772642014221,36632.9280952155,World Bank,2026-07-10T05:20:25.914609+00:00
BRN,Brunei Darussalam,2023,458949,74.8199193881365,32890.5491812019,World Bank,2026-07-10T05:20:25.914609+00:00
BRN,Brunei Darussalam,2024,462721,74.8983133873697,33153.4738913513,World Bank,2026-07-10T05:20:25.914609+00:00
BRN,Brunei Darussalam,2025,466330,75.0109886586819,32234.6428368582,World Bank,2026-07-10T05:20:25.914609+00:00
BTN,Bhutan,2020,770006,39.6888839873439,3191.66906999331,World Bank,2026-07-10T05:20:25.914609+00:00
BTN,Bhutan,2021,775442,40.3075199874379,3570.61257980872,World Bank,2026-07-10T05:20:25.914609+00:00
BTN,Bhutan,2022,780914,40.9365143617581,3711.32767981591,World Bank,2026-07-10T05:20:25.914609+00:00
